질문번호,질문,질문에 대한 답변,고요한 관찰자,따뜻한 동행자,"감성 기록자, 내추럴 힐러","시네마틱 몽상가, 시크한 미니멀리스트","활력 가득 리더, 캐주얼 낙천주의자",도시의 드리머,무심한 예술가,자유로운 탐험가,감각적 실험가
1,가장 편안함을 느끼는 순간은 언제인가요?,혼자 걷는 길 위에서,2,0,3,2,0,0,3,3,2
1,가장 편안함을 느끼는 순간은 언제인가요?,누군가와 깊은 대화를 나눌 때,1,2,１,1,2,2,2,2,1
1,가장 편안함을 느끼는 순간은 언제인가요?,많은 사람들 속에서 에너지를 받을 때,0,1,０,0,3,1,0,1,0
1,가장 편안함을 느끼는 순간은 언제인가요?,새로운 장소에서 나를 발견할 때,3,3,２,3,1,3,1,0,3
2,요즘 나의 하루 분위기를 가장 잘 설명하는 말은?,고요하고 잔잔하다,3,3,３,2,0,0,2,1,0
2,요즘 나의 하루 분위기를 가장 잘 설명하는 말은?,편안하고 따뜻하다,2,2,３,1,2,1,1,2,2
2,요즘 나의 하루 분위기를 가장 잘 설명하는 말은?,활기차고 에너지 넘친다,0,1,１,3,3,3,0,3,1
2,요즘 나의 하루 분위기를 가장 잘 설명하는 말은?,혼란스럽지만 나름대로 굴러간다,1,0,０,2,1,2,3,0,3
3,사람들과의 관계에서 나는?,말없이 듣는 편이다,1,2,0,2,0,0,2,0,1
3,사람들과의 관계에서 나는?,필요한 말은 잘 한다,3,0,2,3,1,1,1,2,3
3,사람들과의 관계에서 나는?,먼저 분위기를 이끄는 편이다,0,3,1,1,3,2,0,1,0
3,사람들과의 관계에서 나는?,순간의 공감을 즐긴다,2,1,3,0,2,3,3,3,2
4,아래 중 가장 끌리는 장면은?,인물이 흐릿한 창밖을 바라보는 사진,2,1,0,3,0,3,1,0,0
4,아래 중 가장 끌리는 장면은?,따뜻한 햇살이 드는 책상 위,3,3,3,2,2,1,3,2,3
4,아래 중 가장 끌리는 장면은?,활기찬 친구들과의 거리 장면,0,2,2,0,3,2,2,3,1
4,아래 중 가장 끌리는 장면은?,텅 빈 지하철 플랫폼,1,0,1,1,1,0,0,1,2
5,이 사진을 보았을 때 떠오르는 감정은?,익숙함과 그리움,1,3,3,1,1,3,3,3,0
5,이 사진을 보았을 때 떠오르는 감정은?,혼자일 때 더 빛나는 감정,3,2,2,2,2,2,0,2,2
5,이 사진을 보았을 때 떠오르는 감정은?,어딘가로 떠나고 싶은 마음,2,0,1,3,3,1,1,1,3
5,이 사진을 보았을 때 떠오르는 감정은?,말 없는 대화,0,1,0,0,0,0,2,0,1
6,이런 장면을 보면 나는…,나도 저렇게 앉아 있고 싶다,3,2,2,2,1,3,1,1,0
6,이런 장면을 보면 나는…,어쩐지 쓸쓸해진다,1,1,0,1,3,0,2,0,1
6,이런 장면을 보면 나는…,"이런 공간, 감성 좋다",2,3,3,3,2,1,3,3,3
6,이런 장면을 보면 나는…,좀 지루할 수도 있겠다,0,0,1,2,0,2,0,2,2
7,내가 나에게 주는 최고의 선물은?,조용한 시간,2,0,1,0,0,0,1,0,2
